Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Pacing,30,1,0,19,3.69,0.000%,.21471,0.00,0.00,.0
launch,5,777,752,817,21.88,0.000%,3.19489,8.38,2.20,2685.6
login,5,956,947,965,7.39,0.000%,2.80269,14.35,5.76,5243.0
click pim,15,747,642,1202,171.61,0.000%,.15237,0.79,0.25,5333.0
click add employee,30,484,320,1766,336.03,0.000%,.29606,0.96,0.25,3322.0
click save employee,30,1287,675,3680,604.91,0.000%,.29278,2.79,0.75,9752.6
click employee list,15,349,333,394,16.43,0.000%,.15051,0.49,0.13,3304.0
search employee,15,1394,1224,1690,146.93,0.000%,.14554,2.51,0.36,17638.1
click time,15,709,640,836,58.55,0.000%,.14919,0.78,0.25,5368.0
click projects,15,514,346,1556,367.95,0.000%,.14956,0.50,0.13,3408.0
save project,15,3102,2319,4459,702.51,0.000%,.13743,3.15,0.70,23483.3
HTTP Request-action creation,30,338,306,458,34.35,0.000%,.28961,0.41,0.23,1454.8
HTTP Request- total action,30,393,303,1824,267.98,0.000%,.28968,0.42,0.23,1489.6
add timesheet,5,5289,4994,6342,527.03,80.000%,.22263,6.75,2.55,31034.2
Debug Sampler,15,0,0,1,0.44,0.000%,.18402,0.26,0.00,1452.9
logout,5,1097,596,2914,908.83,0.000%,.78579,3.58,1.34,4668.0
TOTAL,275,792,0,6342,996.56,1.455%,1.96817,11.17,2.99,5812.9
